shot,words,media,in,motion,rate,anchor,speed,focus,label,credit,effects,notes
## S01,Six-seven is dead.,,,,,,,,,,,
## S02,Let's talk eight-nine.,,,,,,,,,,,
## S03,The 8th of May. And the 9th. Both mark the end of the war in Europe.,,,,,,,,,,,
## S04,"One long day here, in the former Wehrmacht engineers' school",,,,,,,,,,,
## S05,"in Berlin-Karlshorst, opened a fork that still runs across Europe.",,,,,,,,,,,
## S06,And today it runs deeper than it has in decades.,,,,,,,,,,,
## S07,So how did one delayed signature ceremony produce two legitimate dates?,,,,,,,,,,,
## S08,"To answer that question we have to go to Reims, France. On the 7th of May.",,,,,,,,,,,
## S09,Here Colonel General Alfred Jodl signs the unconditional surrender of the Wehrmacht.,,,,,,,,,,,
## S10,The guns are to fall silent at 23:01 on the 8th.,,,,,,,,,,,
## S11,But Jodl is a staff officer with no real power of command.,,,,,,,,,,,
## S12,And the British remember how the First World War ended,,,,,,,,,,,
## S13,when German generals walked away from defeat.,,,,,,,,,,,
## S14,So the Reims protocol demands a second signature.,,,,,,,,,,,
## S15,From the men who actually give orders.,,,,,,,,,,,
## S16,Both place and time were fixed: Soviet High Command headquarters in Karlshorst.,,,,,,,,,,,
## S17,"The 8th of May, afternoon.",,,,,,,,,,,
## S18,"But in order to secure an immediate ceasefire,",,,,,,,,,,,
## S19,President Truman and Prime Minister Churchill announce the surrender before the ratification has happened.,,,,,,,,,,,
## S20,"While London and Washington begin celebrating, Karlshorst stalls.",,,,,,,,,,,
## S21,The Russian translation arrives incomplete. Wording is argued over by radio.,,,,,,,,,,,
## S22,The German High Command signs at about a quarter to one in the morning. The next day.,,,,,,,,,,,
## S23,In the West the war had already been declared over. On the 8th.,,,,,,,,,,,
## S24,In Moscow the announcement came only after Karlshorst.,,,,,,,,,,,
## S25,May 9th - the date the Soviet Union took,,,,,,,,,,,
## S26,as the victory over fascism in Europe and the end of the Great Patriotic War.,,,,,,,,,,,
## S27,"It is still in the official calendar in Russia, Armenia, Georgia, Kazakhstan and many other post-Soviet countries.",,,,,,,,,,,
## S28,But that tradition has not held everywhere.,,,,,,,,,,,
## S29,"Latvia, Estonia and Lithuania dropped the 9th from the state calendar as soon as they regained independence.",,,,,,,,,,,
## S30,Poland moved its commemoration to the 8th in 2015.,,,,,,,,,,,
## S31,"Ukraine did the same in 2023, and gave the 9th to Europe Day.",,,,,,,,,,,
## S32,Thus the delay in Karlshorst contributed to today's disputes,,,,,,,,,,,
## S33,and opened a way to choose the date without rewriting history.,,,,,,,,,,,
## S34,Does that make remembering harder or freer?,,,,,,,,,,,
1,,67_Page.png,,,,,,,,,,
2,,67_Page.png,,,,,,,,,,
3,,Karlshorst-Foyer-8Mai-9Maya_square_1920.png,,,,,,,,,,
4,,Wehrmacht-Pionierschule-Melnik.jpg,,,,,,,,,,
5,,Karlshorst-Prepared.jpg,,,,,,,,,,
6,,Karlshorst-Prepared.jpg,,,,,,,,,,
7,,Karlshorst-Foyer-8Mai-9Maya_square_1920.png,,,,,,,,,,
8,,map_france_reims.png,,,,,,,,,,
9,,Reims-Signing.jpg,,,,,,,,,,
10,,2301-EN.jpg,,,,,,,,,,
11,,Reims-Signing_Jodl.png,,,,,,,,,,
12,,Reims-Signing_Jodl.png,,,,,,,,,,
13,,Reims_Protocol_Jodl.jpg,,,,,,,,,,
14,,Reims_Protocol_Jodl.jpg,,,,,,0.546 0.532 0.581,,,,
15,,Who-give-orders-THF.jpg,,,,,,,,,,
16,,Wehrmacht-Pionierschule-Melnik.jpg,,,,,,,,,,
17,,Reims_Protocol_Jodl.jpg,,,,,,,,,,
18,,Reims_Protocol_Jodl.jpg,,,,,,,,,,focus on last handwritten lines
19,,Truman_Churchill_Potsdam.jpg,,,,,,,,,,
20,,London.jpg,,,,,,,,,,switch to the empty hall
21,,GIoS_Wehrmacht_Signed_Ru_p1.jpg,,,,,,,,,,
22,,8-5-RU.jpg,,,,,,,,,,
23,,New_York_May-8_1945.jpg,,,,,,,,,,
24,,Karlshorst_Signing.jpg,,,,,,,,,,
25,,Moscow.jpg,,,,,,,,,,
26,,Moscow.jpg,,,,,,,,,,
27,,Loznitca_VDay_Treptov.jpg,,,,,,,,,,
28,,map_baltics.mp4,,,,,,,,,,
29,,map_baltics.mp4,,,,,,,,,,
30,,map_poland_ukraine.mp4,,,,,,,,,,
31,,map_poland_ukraine.mp4,,,,,,,,,,
32,,Karlshorst_Signing.jpg,,,,,,,,,,
33,,Karlshorst-Foyer-8Mai-9Maya_square_1920.png,,,,,,,,,,
34,,S18_three-cities_bw.png,,,,,,,,,,
